touch_id,user_id,country,channel,campaign,touch_time,event_type,cost
28,10,MX,Meta,Prospecting,2025-10-10 07:57:00,impression,0.35
29,10,MX,Google_Search,Retargeting,2025-10-14 10:41:00,impression,0.6
30,10,MX,Apple_Search_Ads,Retargeting,2025-10-04 04:22:00,impression,0.75
31,10,MX,TikTok,Prospecting,2025-10-15 21:39:00,impression,0.25
32,11,US,Google_Search,Retargeting,2025-11-01 17:56:00,impression,0.6
33,11,US,Google_Search,Retargeting,2025-11-04 05:17:00,impression,0.6
34,11,US,Meta,Retargeting,2025-11-01 05:43:00,impression,0.35
35,11,US,Google_Search,Brand,2025-11-08 20:13:00,impression,0.6
36,11,US,YouTube,Brand,2025-11-08 17:42:00,impression,0.3
37,12,US,YouTube,Brand,2025-12-10 05:37:00,impression,0.3
38,12,US,YouTube,Retargeting,2025-12-12 00:05:00,impression,0.3
39,12,US,YouTube,Prospecting,2025-12-15 12:05:00,impression,0.3
40,12,US,Meta,Retargeting,2025-12-17 15:47:00,click,0.77
41,12,US,TikTok,Retargeting,2025-12-17 02:58:00,impression,0.25
42,12,US,Apple_Search_Ads,Prospecting,2025-12-14 04:28:00,click,1.65
43,13,US,Google_Search,Prospecting,2025-11-29 00:56:00,impression,0.6
44,13,US,TikTok,Retargeting,2025-11-26 11:11:00,click,0.55
45,13,US,Meta,Brand,2025-11-30 11:48:00,impression,0.35
46,13,US,Google_Search,Retargeting,2025-11-24 18:19:00,impression,0.6
47,13,US,YouTube,Prospecting,2025-11-20 01:32:00,click,0.66
48,14,MX,Meta,Retargeting,2025-11-18 09:05:00,click,0.77
49,14,MX,TikTok,Brand,2025-11-19 20:07:00,impression,0.25
50,14,MX,YouTube,Retargeting,2025-11-24 07:02:00,impression,0.3
51,14,MX,Meta,Brand,2025-11-18 11:50:00,click,0.77
52,14,MX,Google_Search,Brand,2025-11-14 09:22:00,impression,0.6
53,15,MX,Apple_Search_Ads,Brand,2025-11-11 06:12:00,impression,0.75
54,15,MX,Apple_Search_Ads,Prospecting,2025-11-20 16:16:00,impression,0.75
55,15,MX,Meta,Retargeting,2025-11-19 02:45:00,impression,0.35
56,15,MX,Google_Search,Prospecting,2025-11-23 22:25:00,impression,0.6
57,16,BR,YouTube,Prospecting,2025-10-13 00:44:00,impression,0.3
58,17,ES,Apple_Search_Ads,Prospecting,2025-11-21 00:27:00,impression,0.75
59,17,ES,Meta,Brand,2025-11-19 21:19:00,impression,0.35
60,17,ES,TikTok,Prospecting,2025-11-15 00:39:00,impression,0.25
61,17,ES,Meta,Brand,2025-11-17 08:26:00,impression,0.35
62,17,ES,TikTok,Prospecting,2025-11-18 11:49:00,impression,0.25
63,18,DE,Google_Search,Prospecting,2025-10-05 11:55:00,click,1.32
64,18,DE,TikTok,Prospecting,2025-10-05 21:08:00,impression,0.25
65,18,DE,Google_Search,Prospecting,2025-10-03 01:28:00,click,1.32
66,18,DE,Meta,Prospecting,2025-09-23 01:18:00,impression,0.35
67,18,DE,Google_Search,Prospecting,2025-10-05 02:51:00,impression,0.6
68,20,ES,Google_Search,Prospecting,2025-12-23 17:47:00,impression,0.6
69,20,ES,Meta,Retargeting,2025-12-28 21:03:00,click,0.77
70,20,ES,Meta,Prospecting,2025-12-25 11:22:00,impression,0.35
71,20,ES,Google_Search,Brand,2025-12-28 08:20:00,click,1.32
72,20,ES,TikTok,Prospecting,2025-12-24 11:20:00,click,0.55
73,20,ES,Apple_Search_Ads,Brand,2025-12-30 14:36:00,impression,0.75
74,21,US,YouTube,Prospecting,2025-10-03 17:09:00,impression,0.3
75,21,US,YouTube,Prospecting,2025-10-05 04:56:00,impression,0.3
76,21,US,Google_Search,Prospecting,2025-09-27 19:48:00,impression,0.6
77,21,US,TikTok,Prospecting,2025-10-06 10:52:00,impression,0.25
78,21,US,Google_Search,Retargeting,2025-09-26 02:23:00,impression,0.6
79,22,US,YouTube,Prospecting,2025-11-15 08:45:00,impression,0.3
80,22,US,Meta,Retargeting,2025-11-24 05:57:00,impression,0.35
81,22,US,Meta,Prospecting,2025-11-19 15:23:00,click,0.77
82,22,US,Meta,Retargeting,2025-11-21 09:29:00,impression,0.35
83,23,GB,YouTube,Retargeting,2025-10-27 22:45:00,click,0.66
84,23,GB,Google_Search,Prospecting,2025-10-22 17:55:00,click,1.32
85,23,GB,Meta,Prospecting,2025-10-17 00:10:00,impression,0.35
86,24,US,Google_Search,Prospecting,2025-12-28 22:36:00,impression,0.6
87,24,US,Meta,Retargeting,2025-12-23 04:06:00,impression,0.35
88,24,US,TikTok,Prospecting,2025-12-30 22:06:00,impression,0.25
89,24,US,Google_Search,Prospecting,2025-12-24 02:31:00,impression,0.6
90,24,US,Meta,Brand,2025-12-31 03:33:00,click,0.77
91,25,US,Apple_Search_Ads,Prospecting,2025-10-23 14:33:00,impression,0.75
92,25,US,Google_Search,Brand,2025-10-15 20:06:00,click,1.32
93,25,US,Meta,Prospecting,2025-10-20 00:04:00,impression,0.35
94,26,MX,Meta,Prospecting,2025-10-08 19:59:00,click,0.77
95,27,MX,Meta,Prospecting,2025-09-28 02:29:00,impression,0.35
96,27,MX,Google_Search,Retargeting,2025-10-08 21:37:00,impression,0.6
97,28,FR,Google_Search,Retargeting,2025-11-06 03:15:00,impression,0.6
98,28,FR,TikTok,Prospecting,2025-11-15 09:29:00,click,0.55
99,28,FR,Meta,Brand,2025-11-09 06:19:00,impression,0.35
100,28,FR,Google_Search,Brand,2025-11-13 06:55:00,impression,0.6
101,28,FR,Google_Search,Brand,2025-11-19 15:10:00,impression,0.6
102,28,FR,Google_Search,Prospecting,2025-11-11 06:38:00,click,1.32
103,28,FR,Meta,Brand,2025-11-11 13:24:00,impression,0.35
104,29,GB,Meta,Prospecting,2025-11-07 16:21:00,impression,0.35
105,29,GB,Meta,Prospecting,2025-11-18 21:52:00,impression,0.35
106,29,GB,YouTube,Prospecting,2025-11-19 21:16:00,click,0.66
107,29,GB,Meta,Prospecting,2025-11-06 06:31:00,impression,0.35
108,29,GB,Meta,Brand,2025-11-07 09:10:00,impression,0.35
109,29,GB,Google_Search,Retargeting,2025-11-06 18:14:00,impression,0.6
110,30,MX,TikTok,Prospecting,2025-11-29 11:06:00,impression,0.25
111,30,MX,Apple_Search_Ads,Prospecting,2025-12-08 07:05:00,impression,0.75
112,30,MX,Apple_Search_Ads,Prospecting,2025-12-09 06:30:00,impression,0.75
113,30,MX,Meta,Brand,2025-12-08 08:10:00,click,0.77
114,30,MX,Meta,Retargeting,2025-12-09 12:58:00,impression,0.35
115,30,MX,TikTok,Prospecting,2025-12-09 02:50:00,click,0.55
116,30,MX,Apple_Search_Ads,Brand,2025-12-08 01:55:00,click,1.65
117,30,MX,Meta,Prospecting,2025-12-04 04:44:00,click,0.77
118,31,MX,TikTok,Brand,2025-10-01 14:07:00,impression,0.25
119,31,MX,TikTok,Prospecting,2025-10-06 15:40:00,impression,0.25
120,31,MX,TikTok,Prospecting,2025-10-04 21:28:00,impression,0.25
121,32,US,TikTok,Prospecting,2025-10-04 04:40:00,impression,0.25
122,32,US,TikTok,Brand,2025-10-05 08:00:00,impression,0.25
123,33,US,Google_Search,Prospecting,2025-11-27 18:13:00,click,1.32
124,33,US,Google_Search,Retargeting,2025-11-28 11:25:00,impression,0.6
125,33,US,Google_Search,Prospecting,2025-12-07 09:45:00,impression,0.6
126,33,US,Meta,Retargeting,2025-11-28 04:32:00,impression,0.35
127,33,US,TikTok,Retargeting,2025-12-01 18:02:00,impression,0.25
128,33,US,Apple_Search_Ads,Prospecting,2025-11-25 07:56:00,impression,0.75
129,34,US,Meta,Brand,2025-11-14 12:33:00,click,0.77
130,34,US,Meta,Prospecting,2025-11-23 01:29:00,impression,0.35
131,35,GB,TikTok,Brand,2025-11-26 18:11:00,click,0.55
132,35,GB,YouTube,Retargeting,2025-11-24 16:41:00,impression,0.3
133,36,US,Meta,Prospecting,2026-01-08 02:07:00,impression,0.35
134,36,US,YouTube,Prospecting,2026-01-05 15:21:00,impression,0.3
135,36,US,Apple_Search_Ads,Brand,2025-12-27 08:53:00,impression,0.75
136,36,US,Meta,Brand,2025-12-28 18:07:00,impression,0.35
137,36,US,TikTok,Retargeting,2026-01-03 20:04:00,impression,0.25
138,36,US,TikTok,Retargeting,2025-12-29 05:18:00,impression,0.25
139,37,CA,TikTok,Prospecting,2025-10-21 14:19:00,impression,0.25
140,37,CA,Meta,Prospecting,2025-10-15 09:46:00,impression,0.35
141,37,CA,Google_Search,Retargeting,2025-10-23 13:58:00,impression,0.6
142,37,CA,Google_Search,Retargeting,2025-10-16 14:14:00,impression,0.6
143,38,US,Apple_Search_Ads,Brand,2025-10-25 03:02:00,impression,0.75
144,38,US,TikTok,Retargeting,2025-10-28 17:33:00,impression,0.25
145,38,US,Google_Search,Brand,2025-10-17 00:54:00,impression,0.6
146,39,FR,Apple_Search_Ads,Brand,2025-11-19 04:36:00,impression,0.75
147,39,FR,Meta,Retargeting,2025-11-18 19:05:00,impression,0.35
148,40,US,Meta,Prospecting,2025-10-24 09:29:00,impression,0.35
149,40,US,Google_Search,Prospecting,2025-10-20 17:17:00,impression,0.6
150,40,US,YouTube,Prospecting,2025-10-26 09:16:00,click,0.66
151,40,US,YouTube,Prospecting,2025-10-29 23:31:00,impression,0.3
152,41,US,TikTok,Retargeting,2025-11-27 12:51:00,impression,0.25
153,41,US,Meta,Brand,2025-11-16 14:30:00,impression,0.35
154,41,US,Meta,Retargeting,2025-11-16 02:49:00,impression,0.35
155,41,US,YouTube,Retargeting,2025-11-23 16:36:00,impression,0.3
156,41,US,Meta,Retargeting,2025-11-28 01:43:00,impression,0.35
157,42,FR,Apple_Search_Ads,Prospecting,2025-10-28 08:39:00,click,1.65
158,42,FR,Apple_Search_Ads,Prospecting,2025-10-21 08:11:00,impression,0.75
159,42,FR,YouTube,Prospecting,2025-10-28 13:20:00,impression,0.3
160,42,FR,TikTok,Prospecting,2025-10-23 04:24:00,impression,0.25
161,42,FR,Apple_Search_Ads,Prospecting,2025-10-27 00:49:00,impression,0.75
162,43,MX,Google_Search,Prospecting,2025-10-16 19:36:00,click,1.32
163,44,FR,YouTube,Brand,2025-11-16 20:54:00,impression,0.3
164,44,FR,Meta,Retargeting,2025-11-22 11:50:00,click,0.77
165,44,FR,Google_Search,Brand,2025-11-22 17:00:00,click,1.32
166,44,FR,TikTok,Retargeting,2025-11-22 14:32:00,impression,0.25
167,44,FR,Google_Search,Brand,2025-11-20 07:17:00,impression,0.6
168,44,FR,Meta,Prospecting,2025-11-22 20:17:00,impression,0.35
169,44,FR,TikTok,Prospecting,2025-11-15 03:02:00,impression,0.25
170,44,FR,TikTok,Retargeting,2025-11-23 20:20:00,impression,0.25
171,45,GB,Google_Search,Prospecting,2025-11-06 22:55:00,impression,0.6
172,46,DE,Google_Search,Prospecting,2025-10-30 20:45:00,impression,0.6
173,46,DE,TikTok,Brand,2025-10-28 21:18:00,impression,0.25
174,46,DE,Google_Search,Brand,2025-11-07 03:25:00,impression,0.6
175,46,DE,Google_Search,Retargeting,2025-11-08 19:53:00,click,1.32
176,46,DE,Google_Search,Retargeting,2025-10-31 11:12:00,impression,0.6
177,46,DE,Apple_Search_Ads,Prospecting,2025-10-28 21:28:00,impression,0.75
178,47,US,Google_Search,Brand,2025-10-24 23:57:00,impression,0.6
179,47,US,Apple_Search_Ads,Prospecting,2025-11-06 15:58:00,impression,0.75
180,47,US,Apple_Search_Ads,Retargeting,2025-11-03 05:22:00,impression,0.75
181,48,BR,TikTok,Brand,2025-11-20 05:12:00,impression,0.25
182,48,BR,Meta,Brand,2025-11-19 16:05:00,click,0.77
183,48,BR,TikTok,Prospecting,2025-11-19 08:12:00,impression,0.25
184,49,MX,TikTok,Brand,2025-10-09 07:09:00,impression,0.25
185,49,MX,Meta,Prospecting,2025-10-14 00:34:00,impression,0.35
186,49,MX,Meta,Prospecting,2025-10-15 18:33:00,click,0.77
187,49,MX,YouTube,Retargeting,2025-10-14 21:03:00,impression,0.3
188,49,MX,Apple_Search_Ads,Retargeting,2025-10-17 23:42:00,impression,0.75
189,49,MX,TikTok,Retargeting,2025-10-20 12:34:00,impression,0.25
190,49,MX,TikTok,Prospecting,2025-10-13 20:10:00,click,0.55
191,50,FR,Google_Search,Brand,2026-01-03 02:47:00,impression,0.6
192,50,FR,Google_Search,Prospecting,2026-01-09 20:20:00,click,1.32
193,50,FR,TikTok,Retargeting,2026-01-07 18:55:00,click,0.55
194,50,FR,Meta,Prospecting,2026-01-05 23:37:00,impression,0.35
195,50,FR,Apple_Search_Ads,Retargeting,2026-01-04 11:46:00,click,1.65
196,50,FR,YouTube,Prospecting,2025-12-30 01:36:00,impression,0.3
197,51,CA,Apple_Search_Ads,Prospecting,2025-10-05 21:52:00,click,1.65
198,51,CA,Google_Search,Brand,2025-10-05 17:34:00,impression,0.6
199,51,CA,Google_Search,Prospecting,2025-10-15 01:09:00,impression,0.6
200,51,CA,Apple_Search_Ads,Retargeting,2025-10-14 13:40:00,impression,0.75
201,51,CA,Meta,Prospecting,2025-10-16 23:28:00,impression,0.35
202,51,CA,Apple_Search_Ads,Prospecting,2025-10-14 03:23:00,impression,0.75
203,51,CA,Meta,Brand,2025-10-08 04:51:00,impression,0.35
204,51,CA,TikTok,Retargeting,2025-10-03 12:12:00,impression,0.25
205,52,BR,Meta,Prospecting,2025-10-09 20:10:00,impression,0.35
206,52,BR,Meta,Prospecting,2025-10-09 14:58:00,click,0.77
207,53,US,Google_Search,Prospecting,2025-12-25 23:44:00,click,1.32
208,53,US,Meta,Retargeting,2025-12-24 04:48:00,impression,0.35
209,53,US,YouTube,Retargeting,2025-12-31 18:27:00,click,0.66
210,53,US,Google_Search,Prospecting,2025-12-25 03:23:00,impression,0.6
211,53,US,TikTok,Prospecting,2025-12-31 15:55:00,click,0.55
212,54,CA,YouTube,Brand,2025-12-28 22:14:00,impression,0.3
213,55,US,Google_Search,Retargeting,2025-11-13 05:47:00,impression,0.6
214,55,US,Google_Search,Prospecting,2025-11-06 10:45:00,impression,0.6
215,55,US,Meta,Brand,2025-11-10 23:16:00,impression,0.35
216,55,US,Google_Search,Brand,2025-11-15 14:10:00,click,1.32
217,55,US,Apple_Search_Ads,Brand,2025-11-14 21:02:00,impression,0.75
218,56,US,TikTok,Retargeting,2025-12-14 02:49:00,click,0.55
219,56,US,Meta,Retargeting,2025-12-15 04:25:00,impression,0.35
220,56,US,TikTok,Retargeting,2025-12-10 21:06:00,impression,0.25
221,56,US,Google_Search,Prospecting,2025-12-20 09:33:00,impression,0.6
222,56,US,Apple_Search_Ads,Retargeting,2025-12-22 01:49:00,impression,0.75
223,56,US,TikTok,Retargeting,2025-12-19 02:52:00,click,0.55
224,56,US,TikTok,Prospecting,2025-12-22 08:08:00,impression,0.25
225,56,US,YouTube,Retargeting,2025-12-23 02:31:00,impression,0.3
226,57,DE,Google_Search,Prospecting,2025-11-06 19:27:00,impression,0.6
227,57,DE,Apple_Search_Ads,Prospecting,2025-11-09 08:04:00,impression,0.75
228,57,DE,Google_Search,Retargeting,2025-11-15 07:57:00,impression,0.6
229,57,DE,YouTube,Prospecting,2025-11-15 03:33:00,click,0.66
230,57,DE,Meta,Prospecting,2025-11-16 09:00:00,impression,0.35
231,57,DE,Meta,Retargeting,2025-11-08 18:13:00,click,0.77
232,57,DE,Google_Search,Prospecting,2025-11-14 15:15:00,impression,0.6
233,58,CA,Meta,Prospecting,2025-11-20 05:17:00,impression,0.35
234,58,CA,YouTube,Retargeting,2025-12-02 02:23:00,impression,0.3
235,58,CA,TikTok,Prospecting,2025-11-23 01:16:00,impression,0.25
236,58,CA,Google_Search,Brand,2025-11-21 04:45:00,impression,0.6
237,58,CA,Meta,Prospecting,2025-11-28 23:22:00,impression,0.35
238,58,CA,Apple_Search_Ads,Prospecting,2025-12-03 11:46:00,impression,0.75
239,58,CA,TikTok,Prospecting,2025-11-28 15:08:00,click,0.55
240,58,CA,TikTok,Prospecting,2025-11-23 03:41:00,impression,0.25
241,59,ES,Google_Search,Brand,2025-11-19 04:34:00,impression,0.6
242,59,ES,Google_Search,Prospecting,2025-11-19 20:29:00,click,1.32
243,59,ES,TikTok,Brand,2025-11-20 18:15:00,impression,0.25
244,59,ES,Meta,Prospecting,2025-11-17 13:27:00,impression,0.35
245,59,ES,Apple_Search_Ads,Brand,2025-11-15 04:49:00,impression,0.75
246,61,GB,Google_Search,Retargeting,2025-10-31 05:59:00,impression,0.6
247,61,GB,Google_Search,Retargeting,2025-10-22 12:55:00,impression,0.6
248,61,GB,YouTube,Retargeting,2025-10-27 04:14:00,impression,0.3
249,61,GB,TikTok,Brand,2025-10-27 17:20:00,click,0.55
250,61,GB,TikTok,Retargeting,2025-10-19 11:08:00,impression,0.25
251,61,GB,Google_Search,Prospecting,2025-10-23 19:41:00,impression,0.6
252,61,GB,Google_Search,Prospecting,2025-10-27 09:45:00,impression,0.6
253,62,GB,Google_Search,Retargeting,2025-12-16 06:19:00,impression,0.6
254,62,GB,Meta,Prospecting,2025-12-21 11:42:00,impression,0.35
255,62,GB,YouTube,Brand,2025-12-12 12:58:00,impression,0.3
256,62,GB,Google_Search,Prospecting,2025-12-17 06:08:00,impression,0.6
257,62,GB,Google_Search,Brand,2025-12-16 00:02:00,impression,0.6
258,62,GB,Google_Search,Brand,2025-12-16 03:29:00,impression,0.6
259,62,GB,TikTok,Brand,2025-12-12 05:23:00,click,0.55
260,63,GB,Google_Search,Brand,2025-12-14 15:18:00,impression,0.6
261,63,GB,Google_Search,Prospecting,2025-12-22 06:56:00,click,1.32
262,63,GB,Meta,Retargeting,2025-12-14 07:19:00,impression,0.35
263,64,US,Meta,Prospecting,2025-10-22 01:41:00,impression,0.35
264,64,US,Google_Search,Prospecting,2025-10-23 04:50:00,click,1.32
265,65,MX,Meta,Prospecting,2025-11-25 18:43:00,impression,0.35
266,65,MX,Meta,Brand,2025-11-28 13:19:00,impression,0.35
267,65,MX,Apple_Search_Ads,Prospecting,2025-11-20 16:53:00,impression,0.75
268,65,MX,Google_Search,Brand,2025-11-29 14:10:00,impression,0.6
269,65,MX,YouTube,Prospecting,2025-11-22 21:01:00,impression,0.3
270,66,US,Google_Search,Prospecting,2025-10-02 12:13:00,click,1.32
271,66,US,Google_Search,Retargeting,2025-09-30 01:51:00,impression,0.6
272,66,US,Google_Search,Prospecting,2025-10-13 14:40:00,impression,0.6
273,66,US,Meta,Retargeting,2025-10-11 20:21:00,impression,0.35
274,66,US,Google_Search,Prospecting,2025-10-03 16:41:00,impression,0.6
275,66,US,TikTok,Prospecting,2025-10-12 12:22:00,impression,0.25
276,67,CA,Meta,Prospecting,2025-11-16 08:58:00,impression,0.35
277,67,CA,Meta,Prospecting,2025-11-10 05:50:00,impression,0.35
278,67,CA,TikTok,Prospecting,2025-11-17 16:47:00,impression,0.25
279,67,CA,Meta,Prospecting,2025-11-08 14:21:00,impression,0.35
280,67,CA,Apple_Search_Ads,Brand,2025-11-18 18:51:00,impression,0.75
281,67,CA,Meta,Brand,2025-11-13 21:40:00,impression,0.35
282,67,CA,Meta,Prospecting,2025-11-09 04:46:00,impression,0.35
283,68,US,YouTube,Retargeting,2025-11-25 04:43:00,impression,0.3
284,69,ES,Google_Search,Prospecting,2025-12-16 10:05:00,impression,0.6
285,69,ES,Google_Search,Brand,2025-12-11 01:14:00,impression,0.6
286,70,US,Meta,Prospecting,2025-10-24 13:16:00,impression,0.35
287,70,US,YouTube,Brand,2025-10-24 11:45:00,impression,0.3
288,70,US,YouTube,Prospecting,2025-10-30 18:27:00,impression,0.3
289,71,GB,Meta,Retargeting,2025-09-30 12:11:00,impression,0.35
290,71,GB,TikTok,Brand,2025-09-27 15:54:00,impression,0.25
291,71,GB,Meta,Prospecting,2025-09-30 08:09:00,impression,0.35
292,71,GB,Meta,Retargeting,2025-10-03 02:37:00,impression,0.35
293,71,GB,Apple_Search_Ads,Retargeting,2025-10-05 01:44:00,impression,0.75
294,71,GB,Google_Search,Prospecting,2025-10-10 03:32:00,impression,0.6
295,72,US,Meta,Brand,2025-10-28 19:12:00,impression,0.35
296,72,US,TikTok,Prospecting,2025-11-02 12:18:00,impression,0.25
297,72,US,Meta,Retargeting,2025-10-23 17:19:00,impression,0.35
298,72,US,Apple_Search_Ads,Prospecting,2025-10-28 04:47:00,impression,0.75
299,72,US,Google_Search,Prospecting,2025-11-04 11:27:00,click,1.32
300,72,US,Apple_Search_Ads,Brand,2025-11-04 20:08:00,click,1.65
301,73,FR,Google_Search,Retargeting,2025-10-08 16:48:00,impression,0.6
302,73,FR,Apple_Search_Ads,Prospecting,2025-10-06 18:55:00,click,1.65
303,73,FR,Meta,Prospecting,2025-10-05 11:25:00,click,0.77
304,73,FR,Apple_Search_Ads,Prospecting,2025-10-14 06:48:00,impression,0.75
305,73,FR,Meta,Brand,2025-10-14 19:26:00,impression,0.35
306,74,GB,Meta,Prospecting,2025-10-30 22:28:00,impression,0.35
307,74,GB,YouTube,Prospecting,2025-10-29 23:17:00,impression,0.3
308,74,GB,Meta,Retargeting,2025-10-25 18:45:00,click,0.77
309,75,US,Google_Search,Prospecting,2025-12-31 08:49:00,impression,0.6
310,76,FR,Google_Search,Retargeting,2025-11-01 12:53:00,click,1.32
311,76,FR,YouTube,Prospecting,2025-11-09 17:32:00,impression,0.3
312,76,FR,Apple_Search_Ads,Retargeting,2025-11-09 10:06:00,impression,0.75
313,77,ES,Google_Search,Brand,2025-12-26 03:19:00,impression,0.6
314,77,ES,Meta,Prospecting,2026-01-01 14:55:00,impression,0.35
315,77,ES,YouTube,Retargeting,2025-12-26 20:45:00,impression,0.3
316,77,ES,YouTube,Prospecting,2025-12-27 10:34:00,impression,0.3
317,77,ES,Meta,Prospecting,2025-12-22 16:34:00,impression,0.35
318,78,FR,Google_Search,Retargeting,2025-12-05 17:38:00,impression,0.6
319,78,FR,Google_Search,Prospecting,2025-11-29 01:57:00,impression,0.6
320,78,FR,YouTube,Brand,2025-12-01 12:10:00,impression,0.3
321,78,FR,TikTok,Retargeting,2025-11-22 21:27:00,click,0.55
322,78,FR,Meta,Brand,2025-11-29 10:37:00,impression,0.35
323,79,BR,Meta,Prospecting,2026-01-06 15:28:00,impression,0.35
324,79,BR,TikTok,Brand,2026-01-02 01:13:00,impression,0.25
325,79,BR,TikTok,Prospecting,2026-01-04 16:35:00,impression,0.25
326,79,BR,TikTok,Retargeting,2026-01-05 00:09:00,impression,0.25
327,79,BR,Meta,Prospecting,2026-01-08 18:44:00,impression,0.35
328,79,BR,Google_Search,Brand,2025-12-28 20:25:00,click,1.32
329,79,BR,Apple_Search_Ads,Retargeting,2026-01-06 13:59:00,impression,0.75
330,80,US,Apple_Search_Ads,Retargeting,2025-12-27 18:51:00,click,1.65
331,80,US,TikTok,Prospecting,2025-12-17 23:53:00,impression,0.25
332,80,US,TikTok,Retargeting,2025-12-21 17:15:00,click,0.55
333,80,US,TikTok,Prospecting,2025-12-19 15:21:00,click,0.55
334,80,US,YouTube,Retargeting,2025-12-25 22:36:00,impression,0.3
335,80,US,YouTube,Prospecting,2025-12-28 06:33:00,impression,0.3
336,80,US,Apple_Search_Ads,Retargeting,2025-12-15 18:09:00,impression,0.75
337,80,US,TikTok,Retargeting,2025-12-17 07:10:00,impression,0.25
338,81,US,Meta,Prospecting,2025-10-06 07:16:00,impression,0.35
339,81,US,Google_Search,Retargeting,2025-10-14 00:14:00,click,1.32
340,81,US,TikTok,Brand,2025-10-17 07:50:00,click,0.55
341,81,US,TikTok,Prospecting,2025-10-13 22:47:00,click,0.55
342,81,US,Google_Search,Retargeting,2025-10-08 22:41:00,impression,0.6
343,81,US,Meta,Retargeting,2025-10-12 11:15:00,impression,0.35
344,81,US,TikTok,Prospecting,2025-10-04 23:54:00,click,0.55
345,81,US,YouTube,Prospecting,2025-10-09 15:49:00,impression,0.3
346,82,ES,Meta,Brand,2025-12-28 08:00:00,impression,0.35
347,82,ES,Apple_Search_Ads,Prospecting,2025-12-24 21:43:00,impression,0.75
348,82,ES,TikTok,Prospecting,2025-12-21 19:25:00,impression,0.25
349,82,ES,YouTube,Prospecting,2025-12-29 21:25:00,impression,0.3
350,82,ES,Google_Search,Retargeting,2025-12-26 14:24:00,click,1.32
351,83,BR,Meta,Prospecting,2025-10-08 01:48:00,click,0.77
352,84,US,Meta,Prospecting,2025-11-29 03:01:00,impression,0.35
353,84,US,TikTok,Prospecting,2025-11-21 05:21:00,impression,0.25
354,84,US,Meta,Retargeting,2025-11-22 08:00:00,impression,0.35
355,84,US,Meta,Brand,2025-11-27 23:47:00,impression,0.35
356,84,US,TikTok,Retargeting,2025-11-16 00:06:00,impression,0.25
357,86,GB,Apple_Search_Ads,Retargeting,2025-10-10 08:56:00,impression,0.75
358,86,GB,TikTok,Prospecting,2025-10-14 20:08:00,impression,0.25
359,86,GB,Google_Search,Retargeting,2025-10-21 17:25:00,impression,0.6
360,86,GB,Meta,Brand,2025-10-19 04:18:00,click,0.77
361,86,GB,TikTok,Brand,2025-10-19 00:42:00,impression,0.25
362,86,GB,TikTok,Brand,2025-10-21 00:24:00,click,0.55
363,87,BR,Meta,Brand,2025-12-04 03:54:00,impression,0.35
364,87,BR,Google_Search,Prospecting,2025-12-08 11:23:00,click,1.32
365,88,CA,Google_Search,Prospecting,2025-11-04 15:44:00,impression,0.6
366,88,CA,TikTok,Prospecting,2025-11-01 22:00:00,click,0.55
367,88,CA,Google_Search,Retargeting,2025-11-03 01:42:00,impression,0.6
368,88,CA,Google_Search,Prospecting,2025-11-02 14:44:00,impression,0.6
369,88,CA,TikTok,Retargeting,2025-11-01 02:06:00,impression,0.25
